0321735722,"Electronics",206374,"Kelby Training DVD: Adobe Photoshop CS5 Power Session By Matt Kloskowski",38.95,"http://ecx.images-amazon.com/images/I/31TvjSNbFwL.jpg",964,4445,4.61
0324322402,"Electronics",111352,"ResponseCard IR",56.99,"http://ecx.images-amazon.com/images/I/51QBqN3F8hL._SY300_.jpg",700,2858,4.08
0439651859,"Electronics",202579,"TEACHERS FRIEND NOTE FROM THE TEACHER SCHOOL TO HOME NOTES",5.99,"http://ecx.images-amazon.com/images/I/31GI7SdbS7L.jpg",461,2059,4.47
0439886341,"Electronics",144944,"Digital Organizer and Messenger",8.15,"http://ecx.images-amazon.com/images/I/51k0qa8fNML._SX300_.jpg",488,1815,3.72
0545020832,"Toys & Games",732749,"Talk-to-Me Amazing Animals Phonics Boxed Set With Magic Talking Pen &amp; 10 Books",23.92,"http://ecx.images-amazon.com/images/I/41dBcDrKmqL.gif",495,1781,3.6
0545016258,"Toys & Games",250565,"Scholastic Rapid Words 1000 Electronic Word Game",15.9,"http://ecx.images-amazon.com/images/I/51OGqxGPQxL._SX300_.jpg",319,1182,3.71
0545102057,"Toys & Games",315997,"Scholastic Electronic Dictionary",11.95,"http://ecx.images-amazon.com/images/I/51TPCeSx57L._SY300_.jpg",407,1334,3.28
059403390X,"Electronics",49531,"Barnes &amp; Noble BP-01-C01-N2-1 Industriell Cover",15.0,"http://ecx.images-amazon.com/images/I/5145WahSR4L._SY300_.jpg",806,2985,3.7
0594450268,"Electronics",16038,"NOOK HD+ Protective Stand Cover",25.78,"http://ecx.images-amazon.com/images/I/31x1Kj7yGdL._SY300_.jpg",611,3012,4.93
0743610431,"Electronics",64138,"Maptech ChartKit&reg; Book w/Companion CD - Florida East Coast &amp; The Keys",111.6,"http://ecx.images-amazon.com/images/I/31AgCC9ZFqL.jpg",614,2664,4.34
074361058X,"Electronics",38983,"Maptech Embassy Cruising Guide - Long Island Sound to Cape May, NJ",44.95,"http://ecx.images-amazon.com/images/I/41VBBdv7TpL.jpg",527,1997,3.79
0777700018,"Electronics",93162,"65W/90W DC Car Charger for Dell Inspiron, Latitude, Studio, Vostro &amp; XPS Laptops (Lifetime Warranty, Bulk Packaging)",21.4,"http://ecx.images-amazon.com/images/I/41FVVuXVieL._SX300_.jpg",220,1023,4.65
0879393742,"Software",6594,,396.39,"http://ecx.images-amazon.com/images/I/21w4q55Yr6L.jpg",253,1207,4.77
0973528648,"Sports &amp; Outdoors",1498330,"Bulldog's Wes Humpston Book/Pictorial Skate Art",238.26,"http://ecx.images-amazon.com/images/I/61lFnQPa0KL._SY300_.jpg",121,423,3.5
0974562106,"Software",7154,,32.95,"http://ecx.images-amazon.com/images/I/51HblCPjB1L._SY300_.jpg",122,518,4.25
0977703037,"Software",20114,,306.62,"http://ecx.images-amazon.com/images/I/51lvKspymLL._SY300_.jpg",560,2732,4.88
0978770382,"Sports &amp; Outdoors",709367,"New 2012 Callaway uPro MX+ Golf GPS Ultimate Package",336.9,"http://ecx.images-amazon.com/images/I/51yXIwlRpiL._SY300_.jpg",199,944,4.74
0982308825,"Movies & TV",494896,"Advanced Photoshop Rendering Techniques",369.83,"http://ecx.images-amazon.com/images/I/51n2gigGjeL._SY300_.jpg",822,3709,4.51
0984484515,"Toys & Games",540790,"Super Sprowtz The Super Sprowtz Origins Board Book",32.89,"http://ecx.images-amazon.com/images/I/51L4DAg7AlL._SY300_.jpg",157,476,3.03
0984484523,"Toys & Games",489080,"Super Sprowtz I Am Brian Broccoli and I Am Super Strong Board Book",330.64,"http://ecx.images-amazon.com/images/I/518VIdUaI9L._SY300_.jpg",880,3150,3.58
